STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN
423135077000801,YA 138,20121204,1002,WG,9,01300397,,041402010802,112SDGV,,42.52711111,-77.00172222,123,201212041002 EST,201212041002,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1040,YA 138,NGVD29,Central NY,Production,Sand and Gravel
423135077000801,YA 138,20121204,1003,WG,9,01300398,,041402010802,112SDGV,,42.52711111,-77.00172222,123,201212041003 EST,201212041003,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1040,YA 138,NGVD29,Central NY,Production,Sand and Gravel
424318077164001,YA 515,20071030,0800,WG,9,00800255,3060058,041402010202,341GENS,2457LB32E,42.72041667,-77.27833333,123,200710300800 EST,200710300800,Paleozoic,Genesee Formation,Upper,Devonian,NAD83,1678,YA 515,NGVD29,Central NY,Domestic,Bedrock
424318077164001,YA 515,20071030,0810,WG,9,00800256,3060132,041402010202,341GENS,2457LB32E,42.72041667,-77.27833333,123,200710300810 EST,200710300810,Paleozoic,Genesee Formation,Upper,Devonian,NAD83,1678,YA 515,NGVD29,Central NY,Domestic,Bedrock
423955077011301,YA 585,20070926,1200,WG,9,00703248,2710059,041402010706,112SDGV,2457LB32E,42.66522222,-77.02038889,123,200709261200 EST,200709261200,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,780,YA 585,NGVD29,Central NY,Domestic,Sand and Gravel
423955077011301,YA 585,20070926,1210,WG,9,00703249,2710058,041402010706,112SDGV,2457LB32E,42.66522222,-77.02038889,123,200709261210 EST,200709261210,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,780,YA 585,NGVD29,Central NY,Domestic,Sand and Gravel
421938077495701,AG1047,20081015,1100,WG,9,00900284,2910017,020501040102,341CAND,2457LB36F,42.32508333,-77.83252778,003,200810151100 EST,200810151100,Paleozoic,Canadaway Group,Upper,Devonian,NAD83,1750,AG1047,NGVD29,Chemung,Domestic,Bedrock
421938077495701,AG1047,20081015,1110,WG,9,00900285,2910015,020501040102,341CAND,2457LB36F,42.32508333,-77.83252778,003,200810151110 EST,200810151110,Paleozoic,Canadaway Group,Upper,Devonian,NAD83,1750,AG1047,NGVD29,Chemung,Domestic,Bedrock
421441077442601,AG1176,20081104,0800,WG,9,00900361,3110012,020501040103,341JVWF,2457LB36F,42.24463889,-77.74063889,003,200811040800 EST,200811040800,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,2211,AG1176,NGVD29,Chemung,Domestic,Bedrock
421441077442601,AG1176,20081104,0810,WG,9,00900362,3110035,020501040103,341JVWF,2457LB36F,42.24463889,-77.74063889,003,200811040810 EST,200811040810,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,2211,AG1176,NGVD29,Chemung,Domestic,Bedrock
420910076522901,CM  82,20030730,0800,WG,9,00301929,2120136,020501050403,110QRNR,245700326,42.15201901,-76.87384800,015,200307300800 EST,200307300800,Cenozoic,Quaternary System,,Quaternary,NAD27,925,CM  82,NGVD29,Chemung,Production,Bedrock
421532076573601,CM 625,20030813,0900,WG,9,00302069,2260195,020501050401,110QRNR,245700326,42.25896356,-76.95968548,015,200308130900 EST,200308130900,Cenozoic,Quaternary System,,Quaternary,NAD27,1185,CM 625,NGVD29,Chemung,Production,Bedrock
420109076434401,CM 626,20030702,1200,WG,9,00301573,1900176,020501050605,112SDGV,245700326,42.01916667,-76.72888889,015,200307021200 EST,200307021200,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,820,CM 626,NAVD88,Chemung,Production,Sand and Gravel
420109076434401,CM 626,20030702,1210,WG,9,00301574,1900175,020501050605,112SDGV,245700326,42.01916667,-76.72888889,015,200307021210 EST,200307021210,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,820,CM 626,NAVD88,Chemung,Production,Sand and Gravel
