STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN
431542075520801,OW 503,20121128,1002,WG,9,01300431,,041402020802,112SDGV,,43.26172222,-75.86897222,075,201211281002 EST,201211281002,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,534,OW 503,NAVD88,Central NY,Production,Sand and Gravel
431542075520801,OW 503,20121128,1003,WG,9,01300432,,041402020802,112SDGV,,43.26172222,-75.86897222,075,201211281003 EST,201211281003,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,534,OW 503,NAVD88,Central NY,Production,Sand and Gravel
432138076014301,OW 798,20071107,0800,WG,9,00800261,3130171,041402020803,361ODVCU,2457LB32E,43.36080556,-76.02866667,075,200711070800 EST,200711070800,Paleozoic,"Ordovician, Upper",Upper,Ordovician,NAD83,590,OW 798,NGVD29,Central NY,Domestic,Bedrock
432138076014301,OW 798,20071107,0810,WG,9,00800262,3130108,041402020803,361ODVCU,2457LB32E,43.36080556,-76.02866667,075,200711070810 EST,200711070810,Paleozoic,"Ordovician, Upper",Upper,Ordovician,NAD83,590,OW 798,NGVD29,Central NY,Domestic,Bedrock
432937075454201,OW1349,20121112,1200,WG,9,01300320,3190094,041402020201,361QNSN,GC12LK000,43.49358333,-75.76158333,075,201211121200 EST,201211121200,Paleozoic,Queenston Shale,Upper,Ordovician,NAD83,1220,OW1349,NGVD29,Central NY,Domestic,Bedrock
432937075454201,OW1349,20121112,1202,WG,9,01300441,,041402020201,361QNSN,,43.49358333,-75.76158333,075,201211121202 EST,201211121202,Paleozoic,Queenston Shale,Upper,Ordovician,NAD83,1220,OW1349,NGVD29,Central NY,Domestic,Bedrock
432937075454201,OW1349,20121112,1203,WG,9,01300442,,041402020201,361QNSN,,43.49358333,-75.76158333,075,201211121203 EST,201211121203,Paleozoic,Queenston Shale,Upper,Ordovician,NAD83,1220,OW1349,NGVD29,Central NY,Domestic,Bedrock
431840076022801,OW1561,20121009,0800,WG,9,01300011,2860101,041402020803,361ODVCU,GC12LK000,43.31122222,-76.04094444,075,201210090800 EST,201210090800,Paleozoic,"Ordovician, Upper",Upper,Ordovician,NAD83,530,OW1561,NGVD29,Central NY,Domestic,Bedrock
431840076022801,OW1561,20121009,0802,WG,9,01300437,,041402020803,361ODVCU,,43.31122222,-76.04094444,075,201210090802 EST,201210090802,Paleozoic,"Ordovician, Upper",Upper,Ordovician,NAD83,530,OW1561,NGVD29,Central NY,Domestic,Bedrock
431840076022801,OW1561,20121009,0803,WG,9,01300438,,041402020803,361ODVCU,,43.31122222,-76.04094444,075,201210090803 EST,201210090803,Paleozoic,"Ordovician, Upper",Upper,Ordovician,NAD83,530,OW1561,NGVD29,Central NY,Domestic,Bedrock
